golden:
for (int index = 0; index < len; index++) {
for (int index = len; index &0; index++){
for (int index = 0; index &&len; index++){
for (int index = 0; index <len; index++);{
for (int *index = 0; index &len; index++){
for(i = 0; i &len; i++){
for (int index = 0, index len, index++){
for (int index = 0, index <len; ++index){
for (PRInt32 index = 0; index &len; index++){
for (int index = 0; index &len; index++, int i, int i--){
for (int index = &index; index &len; index++){
for (int index = 0; index 1; index++){
for (INT index = 0; index len; index++){
for (int index = 0; index <(char *)len; index++){
for (int index = 0; index <= len - 1; index++){
for (int index = 0; index &len; index++, i = 0; i--){
for (int index = 0; index &len; index++, n=0; n++){
for (int index =0; index <len; index++){
for (int index = 0; index len; index++, int i = 0; i--){
for (int index = 0; index <len; index++, rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; for (int index = 0; index <len; rv = 0; rv = 0; index++){
for (char* index = 0; index <len; index++){
for (int index = 0, index <len, index++){
for (int index=0; index <len; index++){
for (int index = 0; index <len; index++, i = 0; i--){
for (int index = 0; (index <len; index++)){
for (int index = 0; index s.length; index++){
for (int index = 0; index len; index++, i = 0; i--){
for (int index = 0; index len; index++, len = 0; ++index){
for (int index = 0; index <len;{
for (int index = 0 ; index &len; index++){
for (int index = 0; i <len; i++){
for (char *index = 0; index &len; index++){
for (int i = 1; i <len; i++){
for (int index = 0; index <len;; index++){
for (i = 0; i <len; ++i){
for (int index = 0; index &(u_long)len; index++){
for (int index = 0; index <len; index++, ++index){
for (int index = 0; index &(int)len; index++){
for (int index = -1){
for (unsigned int index = 0; index <len; index++){
for (index = 0; index len; index++){
for (n = 0; n len; n++){
for (int index == 0; index &len; index++){
for (Iterator index = 0; index <len; index++){
for (long index = 0; index len; index++){
for (int index = 0; len &= len; index++){
for (int index = 0; index &(int) len; index++){
for (int index = 0; index len; index++, rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; for (int index = 0; index &len; rv = 0; rv = 0; index++){
for (int index = 0; index &= len; ++index){
for (int index = 0; index len, i++){
for (int index = 1; index <= len; index++){
for (int index = 0; index <= len; index++){
for (int index = 1; index <len; index++){
for (int index = 0; index &ln; index++){
for (int index = 0; index len; index++, int len s.length(); len s.length(); len++){
for (int index = 0; index len; index++, i){
for (int index = 0; index &len; index++, len--){
for (int index = 0; index &len; +index++){
for (int index = 0; index <len; int index++){
for (intindex = 0; index &len; index++){
for (int index = 0; index &len; index++) char *c;{
while (index &len){
for (int index = 0; index <len; i--){
for (int index = 0; index len;){
for (int index = 0; index len; index++, len <= 0; ++index){
for (int index = 0; index &len; index = 0; index++){
for (int s = 0; s &len; s++){
for (int index = 0; index len && index++){
for (int index = 0; index <len; index++) <char c;{
for (INT index = 0; index &len; index++){
for (i = 0; i len; i++){
for (int index = 0; index &s.length(); index++){
for (int index = -1; index <len; index++){
for (int i; i len; i++){
for (index = 0; index &len; index++){
for (int index = 0; index <clSize; index++){
while (index >= len){
for (int index; index <len; index++){
for (long index = 0; index <len; index++){
for (int index = 0; index <= length; index++){
for (int i =0; i len; i++){
for (unsigned long index = 0; index <len; index++){
for (size_t i = 0; i len; i++){
for (int index = 0; len <= len; index++){
for (int index = 0; index &len; index--; ++index){
for (int index = 0; index <len; index--; ++index){
for (int index = 0; (index &len; index++)){
for ( int index = 0; index &len; index++ ){
for (int index = 0; index <str; index++){
for (int index = 0; index &= length; index++){
for (int value = 0; value len; value++){
for (int index = 0; len = len; index++){
for (PRUint32 index = 0; index <len; index++){
for (int index = 0; index len; index++ len){
for (int index = 1; index &len; index++){
for (int index = 0; index<len; index++){
for (int index = 1; index = len; index++){
for (int index = 0; index <len; index++, i = 0; i++){
for (int index = 0; index len; index++, i++){
for (int index = 0; index = len; index++){
for (int index = index <len; index++){
for (int index = 0; index <len; index++, index++){
for (int index = 0; index len; +index++){
for (int index = 0; *index <len; ++index){
for (int index = 0; index &0; index++){
for (int index = 0; i &len; i++){
for (int index = 0; index l; index++){
for (int index = 0; index &-1; index++){
for (int index = 0; index num; index++){
for (int index = 0; index len; index++, n=0; n++){
for (int index = 0; index &len; index++){
for (int index = 0; index cnt; index++){
for (i = 0; i <len; i++){
for (int index = 0; index len; index++, rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; rv = 0; for (int index = 0; index <len; rv = 0; rv = 0; index++){
for (i = 0; i &len; i++){
for (int index = 0; index &len; index++ &len){
for (int index = 0; index (u_long)len; index++){
for (u_long index = 0; index <len; index++){
for (i = 0; i &len; ++i){
for (int index = 0; index &(int)len; ++index){
for(i = 0; i <len; i++){
for (int index = 0; index <len; index++ <len){
for (int index = 0; index &len ; index++){
for (int index = 0; index <len; index++ ){
for (int index = 0; index &s.length - 1; index++){
for (int index; index len; index++){
for(int index = 0; index &len; index++){
for (int index == 0; index len; index++){
for (int index = 0; index len; index++) <char *c;{
